"candidate_project_id","proposed_slug","proposed_title","year","media","type","roles","techniques","context","scope","client_or_artist","series_collection","related_project_ids","source_legacy_urls","normalization_action","decision_class","confidence","human_review_required","evidence","notes"
"project-4s4ki-artwork-2022-02","log-out-cover-art","LOG OUT","2022","Image","Cover Art","","CGI; VR Modeling","","","4s4ki","4s4ki Art Works","project-4s4ki-mvs-2022-2nd-01","https://oikaw.com/4s4ki-artwork-2022","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015154148/https://oikaw.oikaw.com/4s4ki-artwork-2022","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-artwork-2022-03","freedom-kingdom","Freedom Kingdom feat. Swervy","2022","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","","https://oikaw.com/4s4ki-artwork-2022","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015154148/https://oikaw.oikaw.com/4s4ki-artwork-2022","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-chouhametsuteki","4s4ki-chouhametsuteki","超破滅的思考","2019","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","","","https://oikaw.com/4s4ki-chouhametsuteki; https://oikaw.com/4s4ki","merge-duplicate","auto-approvable","high","false","https://web.archive.org/web/20251015141005/https://oikaw.oikaw.com/4s4ki-chouhametsuteki; https://web.archive.org/web/20200918112009/https://oikaw.com/4s4ki","Canonical Project confirmed: archived source occurrences match the same output by title, artist/client, year, and content; retain every legacy source URL without creating another Project."
"project-4s4ki-h-o-h-01","here-or-heaven","Here or Heaven","2021","Image","Other Type","","","","","4s4ki","Here or Heaven / Here or Hell","","https://oikaw.com/4s4ki-h-o-h","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912090319/https://oikaw.oikaw.com/4s4ki-h-o-h","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-h-o-h-02","here-or-hell","Here or Hell","2022","Image","Other Type","","","","","4s4ki","Here or Heaven / Here or Hell","","https://oikaw.com/4s4ki-h-o-h","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912090319/https://oikaw.oikaw.com/4s4ki-h-o-h","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2020-01","your-dreamland-music-video","おまえのドリームランド","2020","Video","Music Video","Direction; Cinematography; Editing","Live Action; CGI","","","4s4ki","4s4ki Music Videos","project-4s4ki-artwork-2020-01","https://oikaw.com/4s4ki-mvs-2020","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145550/https://oikaw.oikaw.com/4s4ki-mvs-2020","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2020-02","i-love-me","I LOVE ME","2020","Video","Music Video","Direction; Cinematography; Editing; Graphic Design","Live Action; CGI; Design","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2020","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145550/https://oikaw.oikaw.com/4s4ki-mvs-2020","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2020-03","35-5","35.5","2020","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2020","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145550/https://oikaw.oikaw.com/4s4ki-mvs-2020","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2020-04","chronicle","クロニクル","2020","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2020","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145550/https://oikaw.oikaw.com/4s4ki-mvs-2020","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug confirmed as chronicle (Human-confirmed title romanization) under the approved title-based lowercase ASCII kebab-case policy."
"project-4s4ki-mvs-2021-1st-01","fairytale-music-video","FAIRYTALE feat. Zheani","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","project-4s4ki-artwork-2021-01","https://oikaw.com/4s4ki-mvs-2021-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145908/https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-1st-02","gemstone-music-video","gemstone feat. Puppet","2021","Video","Music Video","Direction; Cinematography; Editing; Graphic Design","Live Action; CGI; Design","","","4s4ki","4s4ki Music Videos","project-4s4ki-artwork-2021-02","https://oikaw.com/4s4ki-mvs-2021-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145908/https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-1st-03","alice-music-video","ALICE feat. Smrtdeath","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","project-4s4ki-artwork-2021-03","https://oikaw.com/4s4ki-mvs-2021-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145908/https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-1st-04","44-seconds","44 seconds","2021","Video","Visualizer","","","","solo-production","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2021-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015145908/https://oikaw.oikaw.com/4s4ki-mvs-2021-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-2nd-01","star-player","STAR PLAYER","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2021-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912094742/https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-2nd-02","m-e-l-t","m e l t","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2021-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912094742/https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-2nd-03","obon","OBON","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2021-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912094742/https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2021-2nd-04","space-coaster","space coaster","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action; CGI","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2021-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20250912094742/https://oikaw.oikaw.com/4s4ki-mvs-2021-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2022-1st-01","blackhole","ブラックホール","2022","Video","Music Video","Direction; Cinematography; Editing; Photography","Live Action","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2022-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015154418/https://oikaw.oikaw.com/4s4ki-mvs-2022-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug confirmed as blackhole (Human-confirmed title romanization) under the approved title-based lowercase ASCII kebab-case policy."
"project-4s4ki-mvs-2022-1st-02","0h-g0d","0h G0D!!","2022","Video","Music Video","Direction; Cinematography; Editing; Illustration","Live Action; Drawing","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2022-1st","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015154418/https://oikaw.oikaw.com/4s4ki-mvs-2022-1st","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2022-2nd-01","log-out-music-video","LOG OUT","2022","Video","Music Video","Direction; Cinematography; Editing; 3D","Live Action; CGI; VR Modeling","","","4s4ki","4s4ki Music Videos","project-4s4ki-artwork-2022-02","https://oikaw.com/4s4ki-mvs-2022-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015134858/https://oikaw.oikaw.com/4s4ki-mvs-2022-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-2022-2nd-02","cyberspace","電脳郷","2022","Video","Music Video","Direction; Cinematography; Editing; 3D","Live Action; CGI; Generative AI","","","4s4ki","4s4ki Music Videos","","https://oikaw.com/4s4ki-mvs-2022-2nd","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015134858/https://oikaw.oikaw.com/4s4ki-mvs-2022-2nd","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Slug confirmed as cyberspace (4s4ki official English form) under the approved title-based lowercase ASCII kebab-case policy."
"project-4s4ki-mvs-undeadcyborg-01","megajokki","☆メガジョッキ☆","2021","Video","Music Video","","","","solo-production","4s4ki","UNDEAD CYBORG","","https://oikaw.com/4s4ki-mvs-undeadcyborg","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015135830/https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag. Slug confirmed as megajokki (4s4ki official form MegaJokki, normalized to lowercase ASCII) under the approved title-based lowercase ASCII kebab-case policy."
"project-4s4ki-mvs-undeadcyborg-02","sugar-junky","Sugar Junky","2021","Video","Music Video","","","","solo-production","4s4ki","UNDEAD CYBORG","","https://oikaw.com/4s4ki-mvs-undeadcyborg","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015135830/https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-undeadcyborg-03","reimen","REIMEN","2021","Video","Music Video","","","","solo-production","4s4ki","UNDEAD CYBORG","","https://oikaw.com/4s4ki-mvs-undeadcyborg","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015135830/https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-mvs-undeadcyborg-04","happiness-theory","幸福論","2021","Video","Music Video","","","","solo-production","4s4ki","UNDEAD CYBORG","","https://oikaw.com/4s4ki-mvs-undeadcyborg","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015135830/https://oikaw.oikaw.com/4s4ki-mvs-undeadcyborg","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag. Slug confirmed as happiness-theory (4s4ki official English form happiness theory) under the approved title-based lowercase ASCII kebab-case policy."
"project-as-01","as-01","01 Power","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/as-01","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912094354/https://oikaw.oikaw.com/as-01",""
"project-as-02","as-02","02 Feeler","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/as-02","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912102008/https://oikaw.oikaw.com/as-02",""
"project-as-03","as-03","03 Harvest","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/as-03","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912105253/https://oikaw.oikaw.com/as-03",""
"project-as-04","as-04","04 Greed","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/as-04","keep","auto-approvable","medium","false","https://web.archive.org/web/20251015142703/https://oikaw.oikaw.com/as-04",""
"project-as-05","as-05","05 Devotion","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/as-05","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912100407/https://oikaw.oikaw.com/as-05",""
"project-asiwc-coco","asiwc-coco","COCO de KIMEL","2016","Video","Music Video","","","","solo-production","ASIWC (A SHEEP IN WOLF’S CLOTHING)","","","https://oikaw.com/asiwc-coco","keep","auto-approvable","high","false","https://web.archive.org/web/20250912090024/https://oikaw.oikaw.com/asiwc-coco","Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag."
"project-asiwc-dekill","asiwc-dekill","DeKiLL","2018","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","ASIWC (A SHEEP IN WOLF’S CLOTHING)","","","https://oikaw.com/asiwc-dekill","keep","auto-approvable","high","false","https://web.archive.org/web/20251015142618/https://oikaw.oikaw.com/asiwc-dekill",""
"project-asiwc-maria-gucci","asiwc-maria-gucci","MARIA GUCCI","2016","Video","Music Video","","","","solo-production","ASIWC (A SHEEP IN WOLF’S CLOTHING)","","","https://oikaw.com/asiwc-maria-gucci","keep","auto-approvable","high","false","https://web.archive.org/web/20251015152556/https://oikaw.oikaw.com/asiwc-maria-gucci","Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag."
"project-beauty-battlers","beauty-battlers","Beauty Battlers","2019","Image","Other Type","","","Personal","","","","","https://oikaw.com/beauty-battlers","keep","auto-approvable","high","false","https://web.archive.org/web/20251015145144/https://oikaw.oikaw.com/beauty-battlers",""
"project-bycatch","bycatch","混獲 -BYCATCH-","2018","Video","Promo","Direction","","","","","","","https://oikaw.com/bycatch","keep","auto-approvable","high","false","https://web.archive.org/web/20250912101300/https://oikaw.oikaw.com/bycatch",""
"project-chuuichi-shouben","chuuichi-shouben","小便","2016","Video","Music Video","","","","","中華一番","","","https://oikaw.com/chuuichi-shouben","keep","auto-approvable","high","false","https://web.archive.org/web/20250912093751/https://oikaw.oikaw.com/chuuichi-shouben",""
"project-chuuichi-theme","chuuichi-theme","中華一番のテーマ","2014","Video","Music Video","","","","","中華一番","","","https://oikaw.com/chuuichi-theme","keep","auto-approvable","high","false","https://web.archive.org/web/20250912094200/https://oikaw.oikaw.com/chuuichi-theme",""
"project-dopinglife","dopinglife","Doping Life","2018","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","TORIENA","","","https://oikaw.com/dopinglife","keep","auto-approvable","high","false","https://web.archive.org/web/20250912085437/https://oikaw.oikaw.com/dopinglife",""
"project-dotama-honne","dotama-honne","本音","2018","Video","Music Video","","","","solo-production","DOTAMA feat. 般若","","","https://oikaw.com/dotama-honne","keep","auto-approvable","high","false","https://web.archive.org/web/20250912102525/https://oikaw.oikaw.com/dotama-honne","Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag."
"project-emily-2023","emily-2023","Emily 2023","2023","Image","Photo","","","","","","","","https://oikaw.com/emily-2023","defer","auto-approvable","medium","false","https://web.archive.org/web/20251015141303/https://oikaw.oikaw.com/emily-2023","Photography Project retained for SEO migration with initial_release_scope=false; Project boundary is confirmed even though publication is deferred."
"project-gasface-fxxk-me","gasface-fxxk-me","Fxxk Me, Training Days","2016","Video","Music Video","","","","solo-production","GASFACE","","","https://oikaw.com/gasface-fxxk-me","keep","auto-approvable","high","false","https://web.archive.org/web/20251011162918/https://oikaw.oikaw.com/gasface-fxxk-me","Legacy “Video”/“Video All Works” credit is represented as scope=solo-production, not as a Role tag."
"project-gasface-item","gasface-item","ITEM","2016","Image","Cover Art","","","","","GASFACE","","","https://oikaw.com/gasface-item","keep","auto-approvable","high","false","https://web.archive.org/web/20251011171200/https://oikaw.oikaw.com/gasface-item",""
"project-kerala-to-kathmandu-2017","kerala-to-kathmandu-2017","""Kerala to Kathmandu"" 2017","2017","Image","Photo","","","","","","","","https://oikaw.com/india-2017-1-2; https://oikaw.com/india-2017-2-2","merge-duplicate","ai-decidable","high","false","https://web.archive.org/web/20250912091648/https://oikaw.oikaw.com/india-2017-1-2; https://web.archive.org/web/20250912091733/https://oikaw.oikaw.com/india-2017-2-2","Two archived pages labeled 1/2 and 2/2 are continuation galleries for one Photography output; retain both sources under one Project. initial_release_scope=false. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-klooz-seasons-01","find-you","Find You (Prod. by Seiho)","2013","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","KLOOZ","SEASONS","","https://oikaw.com/klooz-seasons","split-from-group","ai-decidable","high","false","https://web.archive.org/web/20251011152701/https://oikaw.oikaw.com/klooz-seasons","Split confirmed by evidence-based interpretation: the legacy page groups distinct released outputs, not gallery or supplementary media. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-klooz-seasons-02","you-are","You Are... (Prod. by grooveman Spot)","2013","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","KLOOZ","SEASONS","","https://oikaw.com/klooz-seasons","split-from-group","ai-decidable","high","false","https://web.archive.org/web/20251011152701/https://oikaw.oikaw.com/klooz-seasons","Split confirmed by evidence-based interpretation: the legacy page groups distinct released outputs, not gallery or supplementary media. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-klooz-seasons-03","lack-of-communication","Lack of Communication (Prod. by grooveman Spot)","2013","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","KLOOZ","SEASONS","","https://oikaw.com/klooz-seasons","split-from-group","ai-decidable","high","false","https://web.archive.org/web/20251011152701/https://oikaw.oikaw.com/klooz-seasons","Split confirmed by evidence-based interpretation: the legacy page groups distinct released outputs, not gallery or supplementary media. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-lazy","lazy","LAZYgunsBRISKY Teaser Movie","2018","Video","Promo","","","","","LAZYgunsBRISKY","","","https://oikaw.com/lazy","keep","auto-approvable","high","false","https://web.archive.org/web/20251015145830/https://oikaw.oikaw.com/lazy",""
"project-lex-album","lex-album","!!!","2019","Image","Cover Art","Graphic Design","CGI; Design","","","LEX","","","https://oikaw.com/lex-album","keep","auto-approvable","high","false","https://web.archive.org/web/20251015145025/https://oikaw.oikaw.com/lex-album","Legacy “CG” is retained as Technique=CGI and is not guessed as Role=3D or VFX."
"project-lex-star","lex-star","STAR","2019","Video","Music Video","Direction; Editing","CGI","","","LEX","","","https://oikaw.com/lex-star; https://oikaw.com/star","merge-duplicate","auto-approvable","high","false","https://web.archive.org/web/20250912090513/https://oikaw.oikaw.com/lex-star; https://web.archive.org/web/20200918093329/https://oikaw.com/star","Canonical Project confirmed: archived source occurrences match the same output by title, artist/client, year, and content; retain every legacy source URL without creating another Project. Legacy “CG” is retained as Technique=CGI and is not guessed as Role=3D or VFX."
"project-maeshima-bloom-swipe","maeshima-bloom-swipe","Swipe","2021","Video","Music Video","Direction; Cinematography; Editing","Live Action","","","maeshima soshi & BLOOM VASE","","","https://oikaw.com/maeshima-bloom-swipe","keep","auto-approvable","high","false","https://web.archive.org/web/20250912104407/https://oikaw.oikaw.com/maeshima-bloom-swipe",""
